4366 fassen, fasse, fasst, fasste, fasste, fass, fasst, haben, gefasst
4312 kosten, koste, kostet, kostete, kostete, koste, kostet, haben, gekostet
4311 schmerzen, schmerze, schmerzt, schmerzte, schmerzte, schmerz, schmerzt, haben, geschmerzt
4306 funktionieren, funktioniere, funktioniert, funktionierte, funktionierte, funktioniere, funktioniert, haben, funktioniert
4272 überprüfen, überprüfe, überprüft, überprüfte, überprüfte, überprüfe, überprüft, haben, überprüft
4214 mitkommen, komme mit, kommt mit, kam mit, käme mit, komme mit, kommt mit, sein, mitgekommen
4168 nachdenken, denke nach, denkt nach, dachte nach, dächte nach, denke nach, denkt nach, haben, nachgedacht
4142 freuen, freue, freut, freute, freute, freu, freut, haben, gefreut
4077 hinterlassen, hinterlasse, hinterlässt, hinterließ, hinterließe, hinterlass, hinterlasst, haben, hinterlassen
4044 jagen, jage, jagt, jagte, jagte, jag, jagt, haben, gejagt
4038 küssen, küsse, küsst, küsste, küsste, küss, küsst, haben, geküsst
4017 stören, störe, stört, störte, störte, stör, stört, haben, gestört
4007 hoffen, hoffe, hofft, hoffte, hoffte, hoff, hofft, haben, gehofft
3981 atmen, atme, atmet, atmete, atmete, atme, atmet, haben, geatmet
3962 beruhigen, beruhige, beruhigt, beruhigte, beruhigte, beruhige, beruhigt, haben, beruhigt
3950 zeugen, zeuge, zeugt, zeugte, zeugte, zeuge, zeugt, haben, gezeugt
3941 steigen, steige, steigt, stieg, stiege, steig, steigt, sein, gestiegen
3874 erschießen, erschieße, erschießt, erschoss, erschösse, erschieß, erschießt, haben, erschossen
3777 einigen, einige, einigt, einigte, einigte, einig, einigt, haben, geeinigt
3727 überlegen, überlege, überlegt, überlegte, überlegte, überlege, überlegt, haben, überlegt
3692 verfolgen, verfolge, verfolgt, verfolgte, verfolgte, verfolge, verfolgt, haben, verfolgt
3681 reisen, reise, reist, reiste, reiste, reise, reist, sein, gereist
3632 aufgeben, gebe auf, gibt auf, gab auf, gäbe auf, gib auf, gebt auf, haben, aufgegeben
3631 stehlen, stehle, stiehlt, stahl, stähle, stiehl, stehlt, haben, gestohlen
3619 nerven, nerve, nervt, nervte, nervte, nerve, nervt, haben, genervt
3616 verlangen, verlange, verlangt, verlangte, verlangte, verlange, verlangt, haben, verlangt
3557 aufstehen, stehe auf, steht auf, stand auf, stände auf, steh auf, steht auf, sein, aufgestanden
3556 scheinen, scheine, scheint, schien, schiene, scheine, scheint, haben, geschienen
3538 gebrauchen, gebrauche, gebraucht, gebrauchte, gebrauchte, gebrauche, gebraucht, haben, gebraucht
3535 rauchen, rauche, raucht, rauchte, rauchte, rauche, raucht, haben, geraucht
3506 lösen, löse, löst, löste, löste, löse, löst, haben, gelöst
3483 abholen, hole ab, holt ab, holte ab, holte ab, hole ab, holt ab, haben, abgeholt
3478 entlassen, entlasse, entlässt, entließ, entließe, entlasse, entlasst, haben, entlassen
3465 beeilen, beeile, beeilt, beeilte, beeilte, beeile, beeilt, haben, beeilt
3428 schulden, schulde, schuldet, schuldete, schuldete, schuld, schuldet, haben, geschuldet
3424 hassen, hasse, hasst, hasste, hasste, hasse, hasst, haben, gehasst
3414 enden, ende, endet, endete, endete, ende, endet, haben, geendet
3390 daten, date, datet, datete, datete, date, datet, haben, gedatet
3378 handeln, handle, handelt, handelte, handelte, handle, handelt, haben, gehandelt
3375 vergeben, vergebe, vergibt, vergab, vergäbe, vergib, vergebt, haben, vergeben
3346 hingehen, gehe hin, geht hin, ging hin, ginge hin, geh hin, geht hin, sein, hingegangen
3344 erlauben, erlaube, erlaubt, erlaubte, erlaubte, erlaube, erlaubt, haben, erlaubt
3332 wachen, wache, wacht, wachte, wachte, wache, wacht, haben, gewacht
3332 regen, rege, regt, regte, regte, rege, regt, haben, geregt
3293 behandeln, behandele, behandelt, behandelte, behandelte, behandele, behandelt, haben, behandelt
3285 besprechen, bespreche, bespricht, besprach, bespräche, besprich, besprecht, haben, besprochen
3272 verhindern, verhindere, verhindert, verhinderte, verhinderte, verhindere, verhindert, haben, verhindert
3259 kochen, koche, kocht, kochte, kochte, koch, kocht, haben, gekocht
3259 kontrollieren, kontrolliere, kontrolliert, kontrollierte, kontrollierte, kontrolliere, kontrolliert, haben, kontrolliert
3244 merken, merke, merkt, merkte, merkte, merke, merkt, haben, gemerkt
3242 zurückkommen, komme zurück, kommt zurück, kam zurück, käme zurück, komm zurück, kommt zurück, sein, zurückgekommen
3240 schweigen, schweige, schweigt, schwieg, schwiege, schweige, schweigt, haben, geschwiegen
3236 spuren, spure, spurt, spurte, spurte, spure, spurt, haben, gespurt
3230 schwimmen, schwimme,  schwimmt,  schwamm, schwömme, schwimm, schwimmt, sein, geschwommen
3214 schnappen, schnappe, schnappt, schnappte, schnappte, schnapp, schnappt, sein, geschnappt
3163 genießen, genieße, genießt, genoss, genösse, genieß, genießt, haben, genossen
3150 heiligen, heilige, heiligt, heiligte, heiligte, heilig, heiligt, haben, geheiligt
3148 zulassen, lasse zu, lässt zu, ließ zu, ließe zu, lasse zu, lasst zu, haben, zugelassen
3142 raten, rate, rät, riet, riete, rate, ratet, haben, geraten
3119 begleiten, begleite, begleitet, begleitete, begleitete, begleite, begleitet, haben, begleitet
3104 annehmen, nehme an, nimmt an, nahm an, nähme an, nimm an, nehmt an, haben, angenommen
3090 zählen, zähle, zählt, zählte, zählte, zähle, zählt, haben, gezählt
3081 wählen, wähle, wählt, wählte, wählte, wähle, wählt, haben, gewählt
3080 stoppen, stoppe, stoppt, stoppte, stoppte, stopp, stoppt, haben, gestoppt
3077 weitermachen, mache weiter, macht weiter, machte weiter, machte weiter, mach weiter, macht weiter, haben, weitergemacht
3075 bieten, biete, bietet, bot, böte, biete, bietet, haben, geboten
3072 verletzen, verletze, verletzt, verletzte, verletzte, verletze, verletzt, haben, verletzt
3042 begraben, begrabe, begräbt, begrub, begrübe, begrab, begrabt, haben, begraben
3015 anhalten, halte an, hält an, hielt an, hielte an, halt an, haltet an, haben, angehalten
3012 überzeugen, überzeuge, überzeugt, überzeugte, überzeugte, überzeuge, überzeugt, haben, überzeugt
3003 ausgehen, gehe aus, geht aus, ging aus, ginge aus, geh aus, geht aus, sein, ausgegangen
2996 konzentrieren, konzentriere, konzentriert, konzentrierte, konzentrierte, konzentriere, konzentriert, haben, konzentriert
2987 aufmachen, mache auf, macht auf, machte auf, machte auf, mach auf, macht auf, haben, aufgemacht
2967 untersuchen, untersuche, untersucht, untersuchte, untersuchte, untersuche, untersucht, haben, untersucht
2959 klopfen, klopfe, klopft, klopfte, klopfte, klopf, klopft, haben, geklopft
2959 probieren, probiere, probiert, probierte, probierte, probiere, probiert, haben, probiert
2946 beobachten, beobachte, beobachtet, beobachtete, beobachtete, beobachte, beobachtet, haben, beobachtet
2930 fehlen, fehle, fehlt, fehlte, fehlte, fehle, fehlt, haben, gefehlt
2927 streiten, streite, streitet, stritt, stritte, streite, streitet, haben, gestritten
2921 abhauen, haue ab, haut ab, hieb ab, hiebe ab, hau ab, haut ab, haben, abgehauen
2921 springen, springe, springt, sprang, spränge, springe, springt, sein, gesprungen
2913 spüren, spüre, spürt, spürte, spürte, spüre, spürt, haben, gespürt
2903 verändern, verändere, verändert, veränderte, veränderte, veränder, verändert, haben, verändert
2900 unterschreiben, unterschreibe, unterschreibt, unterschrieb, unterschriebe, unterschreibe, unterschreibt, haben, unterschrieben
2894 trauen, traue, traut, traute, traute, trau, traut, haben, getraut
2890 antun, tue an, tut an, tat an, täte an, tu an, tut an, haben, angetan
2888 packen, packe, packt, packte, packte, pack, packt, haben, gepackt
2875 verhaften, verhafte, verhaftet, verhaftete, verhaftete, verhafte, verhaftet, haben, verhaftet
2872 umgehen, umgehe, umgehet, umging, umginge, umgehe, umgehet, haben, umgangen
2858 drücken, drücke, drückt, drückte, drückte, drück, drückt, haben, gedrückt
2857 dingen, dinge, dingt, dang, dänge, dinge, dingt, haben, gedungen
2856 akzeptieren, akzeptiere, akzeptiert, akzeptierte, akzeptierte, akzeptier, akzeptiert, haben, akzeptiert
2831 landen, lande, landet, landete, landete, lande, landet, sein, gelandet
2829 ertragen, ertrage, erträgt, ertrug, ertrüge, ertrag, ertragt, haben, ertragen
2815 reparieren, repariere, repariert, reparierte, reparierte, repariere, repariert, haben, repariert
2813 fliehen, fliehe, flieht, floh, flöhe, fliehe, flieht, sein, geflohen
2786 langen, lange, langt, langte, langte, lange, langt, haben, gelangt
2777 befreien, befreie, befreit, befreite, befreite, befreie, befreit, haben, befreit
2774 anziehen, ziehe an, zieht an, zog an, zöge an, zieh an, zieht an, haben, angezogen
2759 riskieren, riskiere, riskiert, riskierte, riskierte, riskiere, riskiert, haben, riskiert
2755 rechten, rechte, rechtet, rechtete, rechtete, recht, rechtet, haben, gerechtet
2747 beten, bete, betet, betete, betete, bete, betet, haben, gebetet
2746 interessieren, interessiere, interessiert, interessierte, interessierte, interessiere, interessiert, haben, interessiert
2734 träumen, träume, träumt, träumte, träumte, träume, träumt, haben, geträumt
2732 hauen, haue, haut, haute, haute, hau, haut, haben, gehauen
2710 trennen, trenne, trennt, trennte, trennte, trenne, trennt, haben, getrennt
2702 beantworten, beantworte, beantwortet, beantwortete, beantwortete, beantworte, beantwortet, haben, beantwortet
2694 zuhören, höre zu, hört zu, hörte zu, hörte zu, höre zu, hört zu,  haben, zugehört
2684 starten, starte, startet, startete, startete, starte, startet, haben, gestartet
2664 ficken, ficke, fickt, fickte, fickte, ficke, fickt, haben, gefickt
2663 feuern, feuere, feuert, feuerte, feuerte, feuer, feuert, haben, gefeuert
2661 vermissen, vermisse, vermisst, vermisste, vermisste, vermisse, vermisst, haben, vermisst
2650 erleben, erlebe, erlebt, erlebte, erlebte, erlebe, erlebt, haben, erlebt
2642 mittagessen, —, —, —, —, —, —, haben, mittaggegessen
2641 herkommen, komme her, kommt her, kam her, käme her, komm her, kommt her, sein, hergekommen
2640 gucken, gucke, guckt, guckte, guckte, guck, guckt, haben, geguckt
2622 vernichten, vernichte, vernichtet, vernichtete, vernichtete, vernichte, vernichtet, haben, vernichtet
2619 verpassen, verpasse, verpasst, verpasste, verpasste, verpass, verpasst, haben, verpasst
2611 verteidigen, verteidige, verteidigt, verteidigte, verteidigte, verteidige, verteidigt, haben, verteidigt
2583 dienen, diene, dient, diente, diente, diene, dient, haben, gedient
2583 geraten, gerate, gerät, geriet, geriete, gerate, geratet, sein, geraten
2573 treiben, treibe, treibt, trieb, triebe, treib, treibt, haben, getrieben
2539 festhalten, halte fest, hält fest, hielt fest, hielte fest, halte fest, haltet fest, haben, festgehalten
2525 wahren, wahre, wahrt, wahrte, wahrte, wahre, wahrt, haben, gewahrt
2512 anfassen, fasse an, fasst an, fasste an, fasste an, fasse an, fasst an, haben, angefasst
2508 wechseln, wechsle, wechselt, wechselte, wechselte, wechsele, wechselt, haben, gewechselt
2495 überlassen, überlasse, überlässt, überließ, überließe, überlasse, überlasst, haben, überlassen
2494 übergeben, übergebe, übergibt, übergab, übergäbe, übergib, übergebt, haben, übergeben
2482 fressen, fresse, frisst, fraß, fräße, friss, fresst, haben, gefressen
2469 zurückkehren, kehre zurück, kehrt zurück, kehrte zurück, kehrte zurück, kehre zurück, kehrt zurück, sein, zurückgekehrt
2468 reiten, reite, reitet, ritt, ritte, reit, reitet, sein, geritten
2450 aufnehmen, nehme auf, nimmt auf, nahm auf, nähme auf, nimm auf, nehmt auf, haben, aufgenommen
2447 greifen, greife, greift, griff, griffe, greife, greift, haben, gegriffen
2446 wetten, wette, wettet, wettete, wettete, wette, wettet, haben, gewettet
2445 verdächtigen, verdächtige, verdächtigt, verdächtigte, verdächtigte, verdächtige, verdächtigt, haben, verdächtigt
2425 spazieren, spaziere, spaziert, spazierte, spazierte, spaziere, spaziert, sein, spaziert
2424 entspannen, entspanne, entspannt, entspannte, entspannte, entspann, entspannt, haben, entspannt
