ambivalent, ambivalenter, ambivalentesten
ambulant, —, —
amerikanisch, amerikanischer, amerikanischsten
amethysten, —, —
amethystfarben, —, —
amharisch, amharischer, amharischsten
amikal, —, —
amisch, amischer, amischsten
amitotisch, —, —
ammoniakalisch, —, —
amnestisch, -, -
amniotisch, —, —
amoralisch, amoralischer, amoralischsten
amorph, —, —
amourös, —, —
ampelografisch, -, -
ampelographisch, -, -
amphibolisch, amphibolischer, amphibolischsten
amphipathisch, -, -
amphoter, —, —
amtierend, —, —
amtlich, amtlicher, amtlichsten
amtsmüde, amtsmüder, amtsmüdesten
amtswegig, -, -
amurritisch, —, —
amyloid, amyloider, amyloidesten
amüsant, amüsanter, amüsantesten
anabol, -, -
anachronistisch, anachronistischer, anachronistischsten
anadrom, —, —
anaerob, —, —
anakreontisch, —, —
anal, —, —
analgetisch, analgetischer, analgetischsten
analog, —, —
analphabetisch, —, —
analytisch, analytischer, analytischsten
anamorph, anamorpher, anamorphesten
anankastisch, —, —
anapästisch, —, —
anarchistisch, –, –
anatomisch, —, —
anbetenswert, anbetenswerter, anbetenswertesten
andauernd, –, –
andersartig, andersartiger, andersartigsten
andersfarbig, —, —
anderweitig, —, —
andorranisch, —, —
androgen, —, —
androgyn, —, —
androphil, —, —
androzentrisch, androzentrischer, androzentrischsten
anerkannt, anerkannter, anerkanntesten
anerzogen, -, -
anfechtbar, —, —
anfällig, anfälliger, anfälligsten
anfänglich, —, —
anfärbbar, –, –
angeblich, —, —
angeboren, —, —
angebracht, angebrachter, angebrachtesten
angefertigt, -, -
angeflanscht, —, —
angegeben, –, –
angehimmelt, angehimmelter, angehimmeltsten
angehäuft, —, —
angejahrt, angejahrter, angejahrtesten
angelegentlich, angelegentlicher, angelegentlichsten
angelsächsisch, angelsächsischer, angelsächsischsten
angemessen, angemessener, angemessensten
angenehm, angenehmer, angenehmsten
angepasst, angepasster, angepasstesten
angesagt, angesagter, angesagtesten
angeschickert, —, —
angeschlossen, —, —
angeschwollen, –, –
angesehen, angesehener, angesehensten
angetan, —, —
angewidert, angewiderter, angewidertsten
angewiesen, —, —
angewinkelt, —, —
angezeigt, —, —
anglikanisch, -, -
angloamerikanisch, angloamerikanischer, angloamerikanischsten
anglofranzösisch, —, —
anglophon, —, —
angolanisch, —, —
angreifbar, —, —
angrenzend, -, -
angriffslustig, angriffslustiger, angriffslustigsten
angsteinflößend, angsteinflößender, angsteinflößendsten
angsterfüllt, angsterfüllter, angsterfülltesten
anheimelnd, anheimelnder, anheimelndsten
anhängig, —, —
anhänglich, anhänglicher, anhänglichsten
anikonisch, —, —
animalisch, animalischer, animalischsten
anlasslos, -, -
anmaßend, anmaßender, anmaßendsten
anmutig, anmutiger, anmutigsten
annalistisch, annalistischer, annalistischsten
annehmbar, annehmbarer, annehmbarsten
anodisch, —, —
anomal, —, —
anomisch, anomischer, anomischsten
anonym, anonymer, anonymsten
anorektisch, anorektischer, anorektischsten
anorganisch, anorganischer, anorganischsten
anotherm, —, —
anoxisch, —, —
anregend, anregender, anregendsten
anregungsarm, anregungsärmer, anregungsärmsten
anregungsreich, anregungsreicher, anregungsreichsten
anschaulich, anschaulicher, anschaulichsten
anschließend, —, —
ansehnlich, ansehnlicher, ansehnlichsten
ansprechbar, ansprechbarer, ansprechbarsten
ansprechend, ansprechender, ansprechendsten
anspruchslos, anspruchsloser, anspruchslosesten
anspruchsvoll, anspruchsvoller, anspruchsvollsten
ansteckend, ansteckender, ansteckendsten
anstellig, anstelliger, anstelligsten
anstrengend, anstrengender, anstrengendsten
anständig, anständiger, anständigsten
anstößig, anstößiger, anstößigsten
ansässig, –, –
antagonistisch, antagonistischer, antagonistischsten
antarktisch, antarktischer, antarktischsten
anterior, -, -
anthrazit, —, —
anthrazitfarben, —, —
anthropisch, —, —
anthropochor, —, —
anthropogen, anthropogener, anthropogensten
anthropologisch,  anthropologischer, anthropologischsten
anthropomorph, anthropomorpher, anthropomorphsten
anthropozentrisch, anthropozentrischer, anthropozentrischsten
antiamerikanisch, antiamerikanischer, antiamerikanischsten
antiautoritär, antiautoritärer, antiautoritärsten
antibakteriell, —, —
antibiotikaresistent, —, —
antibiotisch, —, —
antibolschewistisch, —, —
antichretisch, —, —
antichristlich, antichristlicher, antichristlichsten
antidemokratisch, antidemokratischer, antidemokratischsten
antidepressiv, —, —
antideutsch, —, —
antieuropäisch, antieuropäischer, antieuropäischsten
antifaschistisch, —, —
antiferromagnetisch, —, —
antiguanisch, —, —
antiinflammatorisch, —, —
antijüdisch, —, —
antik, —, —
antiklerikal, antiklerikaler, antiklerikalsten
antikolonial, —, —
antikommutativ, —, —
antimilitaristisch, antimilitaristischer, antimilitaristischsten
antimonhaltig, antimonhaltiger, antimonhaltigsten
antimykotisch, —, —
antinomisch, —, —
antipathisch, antipathischer, antipathischsten
antipyretisch, —, —
antiquiert, antiquierter, antiquiertesten
antirussisch, —, —
antischiitisch, —, —
antisemitisch, antisemitischer, antisemitischsten
antiseptisch, -, -
antistatisch, -, -
antisymmetrisch, —, —
antiviral, —, —
antizionistisch, antizionistischer, antizionistischsten
antizipativ, antizipativer, antizipativsten
antizipiert, —, —
antonymisch, —, —
antragstellend, —, —
antriebslos, antriebsloser, antriebslosesten
anverwahrt, –, –
anwendbar, anwendbarer, anwendbarsten
anwesend, —, —
anziehend, anziehender, anziehendsten
anzüglich, anzüglicher, anzüglichsten
anämisch, -, -
apart, aparter, apartesten
apathisch, apathischer, apathischsten
aper, aperer, apersten
aperiodisch, —, —
apfelartig, -, -
apfelförmig, apfelförmiger, apfelförmigsten
apfelgrün, —, —
aphoristisch, aphoristischer, aphoristischsten
apikal, apikaler, apikalsten
apnoisch, -, -
apodiktisch, apodiktischer, apodiktischsten
apokalyptisch, apokalyptischer, apokalyptischsten
apokarp, —, —
apokryph, —, —
apollinisch, apollinischer, apollinischsten
apologetisch, apologetischer, apologetischsten
apophatisch, —, —
apophthegmatisch, -, -
apoplektisch, apoplektischer, apoplektischsten
aporetisch, —, —
aposteriorisch, —, —
apostolisch, —, —
apothekenpflichtig, —, —
apotheotisch, —, —
apotropäisch, apotropäischer, apotropäischsten
appendikuliert, appendikulierter, appendikuliertesten
appetitlich, appetitlicher, appetitlichsten
appetitlos, appetitloser, appetitlosesten
approximal, —, —
approximativ, —, —
apricot, —, —
aprikosenfarben, -, -
apriorisch, —, —
apulisch, -, -
aquamarin, aquamariner, aquamarinsten
aquamarinblau, —, —
aquamarinfarben, —, —
arabisch, arabischer, arabischsten
aragonesisch, —, —
aragonisch, —, —
aramäisch, aramäischer, aramäischsten
aranesisch, —, —
arational, -, -
arawakisch, -, -
arbeitnehmerfreundlich, arbeitnehmerfreundlicher, arbeitnehmerfreundlichsten
arbeitsam, arbeitsamer, arbeitsamsten
arbeitsfähig, arbeitsfähiger, arbeitsfähigsten
arbeitslos, —, —
arbeitsmarktpolitisch, —, —
arbeitsmedizinisch, -, -
arbeitsmäßig, —, —
arbeitsscheu, –, –
arbeitssuchend, -, -
arbeitstäglich, -, -
arbeitsunfähig, arbeitsunfähiger, arbeitsunfähigsten
arbeitswissenschaftlich, —, —
arbiträr, arbiträrer, arbiträrsten
archaisch, archaischer, archaischsten
archetypisch, archetypischer, archetypischsten
architektonisch, —, —
architekturgeschichtlich, -, -
archäologisch, -, -
areligiös, —, —
aretologisch, -, -
arg, ärger, ärgsten
argentinisch, argentinischer, argentinischsten
arglistig, arglistiger, arglistigsten
arglos, argloser, arglosesten
argumentativ, argumentativer, argumentativsten
argwöhnisch, argwöhnischer, argwöhnischsten
arianisch, —, —
arid, arider, aridesten
arisch, —, —
aristokratisch, aristokratischer, aristokratischsten
aristotelisch, -, -
arithmetisch, —, —
arkan, —, —
arktisch, arktischer, arktischsten
arm, ärmer, ärmsten
armdick, —, —
armenisch, armenischer, armenischsten
armförmig, -, -
armlang, —, —
armselig, armseliger, armseligsten
armutsgefährdet, armutsgefährdeter, armutsgefährdetsten
aromatisch, aromatischer, aromatischsten
aromatisiert, aromatisierter, aromatisiertesten
arriviert, arrivierter, arriviertesten
arrogant, arroganter, arrogantesten
arschig, arschiger, arschigsten
arschkalt, —, —
arschlos, arschloser, arschlosesten
arschteuer, –, –
arsenhaltig, —, —
artenreich, artenreicher, artenreichsten
arteriell, —, —
artesisch, —, —
artfremd, -, -
artgerecht, artgerechter, artgerechtesten
arthritisch, arthritischer, arthritischsten
arthrotisch, —, —
artifiziell, artifizieller, artifiziellsten
artig, artiger, artigsten
artikulatorisch, —, —
artilleristisch, -, -
artistisch, artistischer, artistischsten
artverwandt, -, -
arztpflichtig, —, —
asbestfrei, —, —
aschblond, —, —
aschearm, ascheärmer, ascheärmsten
aschfahl, —, —
aschfarben, —, —
aschgrau, —, —
aschkenasisch, —, —
aseismisch, —, —
aseptisch, aseptischer, aseptischsten
aserbaidschanisch, —, —
asexual, —, —
asexuell, asexueller, asexuellsten
asiatisch, asiatischer, asiatischsten
askanisch, —, —
